epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
39,0.15551181,5.847826004,471,37,462,0.5774947,0.9459459,0.093418255,44,35,0.100456618,6.156197071,197,22,219,0.519612372,1,0,0,22
40,0.13385826,5.788101196,471,37,475,0.62087566,0.972973,0.067940556,32,36,0.100456618,6.121428967,197,22,219,0.522611916,1,0,0,22
41,0.11811024,5.727059364,471,37,481,0.6321226,0.9459459,0.053078555,25,35,0.100456618,6.086858273,197,22,219,0.524688482,1,0,0,22
42,0.098425195,5.798186302,471,37,493,0.5585012,0.972973,0.02972399,14,36,0.100456618,6.05216074,197,22,219,0.528149545,1,0,0,22
43,0.11811024,5.70035696,471,37,481,0.56951857,0.9459459,0.053078555,25,35,0.100456618,6.017744064,197,22,219,0.529533923,1,0,0,22
44,0.12401575,5.658795357,471,37,478,0.61508006,0.9459459,0.05944798,28,35,0.100456618,5.983282566,197,22,219,0.533917844,1,0,0,22
45,0.12992126,5.601094246,471,37,475,0.61611295,0.9459459,0.06581741,31,35,0.100456618,5.949120045,197,22,219,0.535071552,1,0,0,22
46,0.11220472,5.612338066,471,37,480,0.5809376,0.8918919,0.050955415,24,33,0.100456618,5.91514492,197,22,219,0.539916933,1,0,0,22
47,0.11023622,5.486099243,471,37,489,0.67544615,1,0.040339705,19,37,0.100456618,5.881567001,197,22,219,0.54107058,1,0,0,22
48,0.11614173,5.553535938,471,37,480,0.5247604,0.9189189,0.053078555,25,34,0.100456618,5.847908497,197,22,219,0.542916477,1,0,0,22
49,0.11614173,5.522665977,471,37,484,0.56722325,0.972973,0.04883227,23,36,0.100456618,5.814287186,197,22,219,0.545916021,1,0,0,22
50,0.11220472,5.53737402,471,37,486,0.57152694,0.972973,0.044585988,21,36,0.100456618,5.780603409,197,22,219,0.550530672,1,0,0,22
51,0.114173226,5.428512573,471,37,487,0.5432375,1,0.044585988,21,37,0.100456618,5.747451305,197,22,219,0.552145839,1,0,0,22
52,0.11614173,5.360556126,471,37,484,0.69598895,0.972973,0.04883227,23,36,0.100456618,5.714681149,197,22,219,0.557683408,1,0,0,22
53,0.1003937,5.384755611,471,37,492,0.55247605,0.972973,0.031847134,15,36,0.100456618,5.682190418,197,22,219,0.559760034,1,0,0,22
54,0.09448819,5.267714977,471,37,495,0.6974235,0.972973,0.025477707,12,36,0.100456618,5.649986267,197,22,219,0.564605474,1,0,0,22
55,0.11220472,5.296652794,471,37,488,0.5974637,1,0.042462844,20,37,0.100456618,5.618113995,197,22,219,0.571065962,1,0,0,22
56,0.08858268,5.302929401,471,37,500,0.55884546,1,0.016985139,8,37,0.100456618,5.586861134,197,22,219,0.574065506,1,0,0,22
57,0.08661418,5.251315594,471,37,497,0.5314168,0.9459459,0.01910828,9,35,0.100456618,5.556221485,197,22,219,0.575449944,1,0,0,22
58,0.08858268,5.180997849,471,37,498,0.6449188,0.972973,0.01910828,9,36,0.100456618,5.52558279,197,22,219,0.580526054,1,0,0,22
