epoch,accuracy,loss,negative,positive,pred_positive,roc_auc,sensitivity,specificity,true_negative,true_positive,val_accuracy,val_loss,val_negative,val_positive,val_pred_positive,val_roc_auc,val_sensitivity,val_speci,val_true_negative,val_true_positive
38,0.503937,5.575577736,478,30,252,0.49058577,0.5,0.5041841,241,15,0.867579937,5.364519119,209,10,23,0.626315773,0.200000003,0.89952153,188,2
39,0.5177165,5.543633461,478,30,247,0.52785915,0.53333336,0.5167364,247,16,0.87214613,5.335024834,209,10,22,0.62535888,0.200000003,0.904306233,189,2
40,0.53346455,5.500462532,478,30,237,0.54170156,0.5,0.53556484,256,15,0.876712322,5.305672169,209,10,21,0.62918663,0.200000003,0.909090936,190,2
41,0.515748,5.449329376,478,30,250,0.5472106,0.56666666,0.5125523,245,17,0.876712322,5.276463032,209,10,21,0.630622029,0.200000003,0.909090936,190,2
42,0.5177165,5.406851292,478,30,253,0.61018133,0.6333333,0.51046026,244,19,0.876712322,5.247404099,209,10,21,0.630143523,0.200000003,0.909090936,190,2
43,0.51968503,5.43878603,478,30,246,0.48790097,0.53333336,0.51882845,248,16,0.881278515,5.218514919,209,10,20,0.62918663,0.200000003,0.91387558,191,2
44,0.4940945,5.408994198,478,30,253,0.46032077,0.43333334,0.49790794,238,13,0.87214613,5.189808846,209,10,22,0.622966528,0.200000003,0.904306233,189,2
45,0.492126,5.340687752,478,30,260,0.5616109,0.53333336,0.48953974,234,16,0.87214613,5.161356449,209,10,22,0.616746426,0.200000003,0.904306233,189,2
46,0.52952754,5.330271721,478,30,241,0.548152,0.53333336,0.5292887,253,16,0.87214613,5.133104801,209,10,22,0.608133972,0.200000003,0.904306233,189,2
47,0.54527557,5.290089607,478,30,233,0.56722456,0.53333336,0.5460251,261,16,0.87214613,5.105008125,209,10,22,0.600000024,0.200000003,0.904306233,189,2
48,0.5,5.209839344,478,30,254,0.544212,0.5,0.5,239,15,0.87214613,5.077027798,209,10,22,0.59138757,0.200000003,0.904306233,189,2
49,0.5019685,5.227838993,478,30,249,0.5411088,0.43333334,0.50627613,242,13,0.87214613,5.049291611,209,10,22,0.57703352,0.200000003,0.904306233,189,2
50,0.52755904,5.201124191,478,30,240,0.52635986,0.5,0.5292887,253,15,0.87214613,5.021758556,209,10,22,0.559808612,0.200000003,0.904306233,189,2
51,0.49015749,5.139864922,478,30,269,0.59309626,0.6666667,0.47907948,229,20,0.87214613,4.994367123,209,10,22,0.541626811,0.200000003,0.904306233,189,2
52,0.53937006,5.154075623,478,30,242,0.55383545,0.6333333,0.5334728,255,19,0.867579937,4.967195988,209,10,23,0.521052659,0.200000003,0.89952153,188,2
53,0.48228347,5.142539501,478,30,259,0.49797767,0.43333334,0.48535565,232,13,0.881278515,4.94013834,209,10,20,0.50526315,0.200000003,0.91387558,191,2
54,0.47637796,5.125918865,478,30,266,0.43870294,0.5,0.4748954,227,15,0.881278515,4.913245678,209,10,20,0.484688997,0.200000003,0.91387558,191,2
55,0.48031497,5.029486179,478,30,280,0.65390515,0.76666665,0.4623431,221,23,0.876712322,4.886460304,209,10,21,0.474162668,0.200000003,0.909090936,190,2
56,0.4625984,5.026587486,478,30,275,0.52545327,0.53333336,0.458159,219,16,0.863013685,4.85988903,209,10,24,0.461244017,0.200000003,0.894736826,187,2
